# 星海深幽：寻因星晶镜

# TODO: 利维亚阶段缺少循环

hideall "--Reset--"
hideall "--sync--"

# 封锁解除了
0.0 "--Reset--" SystemLogMessage { id: "7DE" } window 0,100000 jump 0

#~~~~~~~~~~~~~~~~~~~~~~#
# 迷执爱恋的莉维亚 #
#~~~~~~~~~~~~~~~~~~~~~~#

# -p 6448:1012
# -ii 60C3 6444 6446

# 中央观测所即将封锁
1000.0 "--sync--" SystemLogMessage { id: "7DC", param1: "F98" } window 10000,0
1012.0 "挫败" Ability { id: "6448", source: "迷执爱恋的莉维亚" }
1022.2 "典雅女神枪" Ability { id: "6449", source: "迷执爱恋的莉维亚" }
1029.3 "--middle--"
1037.3 "典雅女神连枪" Ability { id: "644[23]", source: "迷执爱恋的莉维亚" }
1047.4 "典雅女神连枪" Ability { id: "644[23]", source: "迷执爱恋的莉维亚" }
1057.8 "典雅女神射击 1" Ability { id: "6445", source: "迷执爱恋的莉维亚" }
1068.0 "典雅女神射击 2" Ability { id: "6447", source: "以太弹" }

1079.0 "恨且爱" Ability { id: "644B", source: "迷执爱恋的莉维亚" }
1083.9 "爱之火" Ability { id: "644C", source: "迷执爱恋的莉维亚" }
1089.1 "恨之火" Ability { id: "644D", source: "迷执爱恋的莉维亚" }
1094.4 "蔑视" Ability { id: "644A", source: "迷执爱恋的莉维亚" }

1105.6 "挫败" Ability { id: "6448", source: "迷执爱恋的莉维亚" }
1117.0 "典雅女神射击 1" Ability { id: "6445", source: "迷执爱恋的莉维亚" }
1127.1 "典雅女神连枪" Ability { id: "644[23]", source: "迷执爱恋的莉维亚" }
1128.2 "典雅女神射击 2" Ability { id: "6447", source: "以太弹" }

1138.3 "挫败" Ability { id: "6448", source: "迷执爱恋的莉维亚" }
1150.6 "恨且爱" Ability { id: "644B", source: "迷执爱恋的莉维亚" }
1155.5 "爱之火" Ability { id: "644C", source: "迷执爱恋的莉维亚" }
1160.7 "恨之火" Ability { id: "644D", source: "迷执爱恋的莉维亚" }
1167.7 "典雅女神连枪" Ability { id: "644[23]", source: "迷执爱恋的莉维亚" }

1180.8 "挫败" Ability { id: "6448", source: "迷执爱恋的莉维亚" }
1194.0 "典雅女神枪" Ability { id: "6449", source: "迷执爱恋的莉维亚" }
1207.4 "蔑视" Ability { id: "644A", source: "迷执爱恋的莉维亚" }
1218.8 "典雅女神射击 1" Ability { id: "6445", source: "迷执爱恋的莉维亚" }
1229.0 "典雅女神射击 2" Ability { id: "6447", source: "以太弹" }

1240.0 "恨且爱" Ability { id: "644B", source: "迷执爱恋的莉维亚" } window 50,50 jump 1079
1244.9 "爱之火" #Ability { id: "644C", source: "迷执爱恋的莉维亚" }
1250.1 "恨之火" #Ability { id: "644D", source: "迷执爱恋的莉维亚" }
1255.4 "蔑视" #Ability { id: "644A", source: "迷执爱恋的莉维亚" }

1266.6 "挫败" #Ability { id: "6448", source: "迷执爱恋的莉维亚" }
1278.0 "典雅女神射击 1" #Ability { id: "6445", source: "迷执爱恋的莉维亚" }
1288.1 "典雅女神连枪" #Ability { id: "644[23]", source: "迷执爱恋的莉维亚" }
1289.2 "典雅女神射击 2" #Ability { id: "6447", source: "以太弹" }
